timestamp,original_full_path,new_full_path,sharepoint_item_id,status,reason
2026-06-30T14:51:57,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Contract\1차 Contract 수정안(DBMPS-DWIC)\법무실_필리핀 교과서_Supplemnetal Puchaser-Supplier Contract for Textbooks_061129.pdf,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Contract\1차 Contract 수정안(DBMPS-DWIC)\법무실_필리핀 교과서_교과서 공급 보충 계약서_Supplemnetal Purchaser-Supplier Contract_061129.pdf,017JC4QUPMN23JTMXPGR72EBVCQQPXBEMD,success,파일명 변경 완료 (SharePoint Batch)
2026-06-30T14:51:57,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Contract\1차 Contract 수정안(DBMPS-DWIC)\법무실_필리핀 교과서_supply contract delivery 변경 계약_061130.doc,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Contract\1차 Contract 수정안(DBMPS-DWIC)\법무실_필리핀 교과서_검토의견서_061130.doc,017JC4QUPMR4LZGWOYKZ62KVED4ETIJG76,success,파일명 변경 완료 (SharePoint Batch)
2026-06-30T14:51:57,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Contract\2차 Contract\법무실_필리핀 교과서_Confirmation letter 및 수정합의서 검토의견_061228.pdf,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Contract\2차 Contract\법무실_필리핀 교과서_검토의견서_Confirmation letter 및 수정합의서 검토의견_061228_수정.pdf,017JC4QUPXHOAEERDY35Y27A5AVTGTGN2D,success,파일명 변경 완료 (SharePoint Batch)
2026-06-30T14:51:57,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Contract\2차 Contract\법무실_필리핀 교과서_DBMPS confirmation letter.doc,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Contract\2차 Contract\법무실_필리핀 교과서_대금지급확인서_DBMPS confirmation letter_061228.doc,017JC4QUOZC42GDEV6FZ32FXOADOW224JA,success,파일명 변경 완료 (SharePoint Batch)
2026-06-30T14:51:57,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Contract\2차 Contract\법무실_필리핀 교과서_supplementary contract.pdf,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Contract\2차 Contract\법무실_필리핀 교과서_보충 계약서_SUPPLEMENTAL PURCHASER-SUPPLIER CONTRACT_061127.pdf,017JC4QUNRIOUYLS6A5JYJE4X4QQDKL5OM,success,파일명 변경 완료 (SharePoint Batch)
2026-06-30T14:51:57,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Contract\2차 Contract\법무실_필리핀 교과서_검토의견_061228.doc,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Contract\2차 Contract\법무실_필리핀 교과서_검토의견서_061228.doc,017JC4QUP5277PLAQL25YITOQT5JMFNPZG,success,파일명 변경 완료 (SharePoint Batch)
2026-06-30T14:51:57,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Contract\3차 Contract(06.12.29)\법무실_필리핀 교과서_confirmation letter-DBMPS_061228.pdf,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Contract\3차 Contract(06.12.29)\법무실_필리핀 교과서_계약 확인서_confirmation letter-DBMPS_061228.pdf,017JC4QUL67ZTIUC6V2RZZDQWETQAWXWJX,success,파일명 변경 완료 (SharePoint Batch)
2026-06-30T14:51:57,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Contract\3차 Contract(06.12.29)\법무실_필리핀 교과서_supplemetary contract_confirmation letter.pdf,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Contract\3차 Contract(06.12.29)\법무실_필리핀 교과서_계약 이행 확인서_confirmation letter_061228.pdf,017JC4QUNDJ6WJROXULN4INWXQOQQN4BCG,success,파일명 변경 완료 (SharePoint Batch)
2026-06-30T14:51:59,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Local Delivery(stand by LC)\법무실_필리핀 교과서_Guarantee letter(Speedex)_061107.doc,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Local Delivery(stand by LC)\법무실_필리핀 교과서_(Speedex International)연대보증서_Guarantee letter_061107.doc,017JC4QUP7O7BOT2SIENZZN76FDDOUH77E,success,파일명 변경 완료 (SharePoint Batch)
2026-06-30T14:51:59,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Local Delivery(stand by LC)\법무실_필리핀 교과서_Local delivery contract.pdf,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Local Delivery(stand by LC)\법무실_필리핀 교과서_현지 배송 계약서_Local Delivery Contract_061018.pdf,017JC4QUJAGLFNZNXR3B3ZYR4NEQQ3ZAXP,success,파일명 변경 완료 (SharePoint Batch)
2026-06-30T14:51:59,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Local Delivery(stand by LC)\법무실_필리핀 교과서_P Bond frm Mr Norman.pdf,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Local Delivery(stand by LC)\법무실_필리핀 교과서_(Security Bank)신용장_Irrevocable Domestic Standby Letter of C_061031.pdf,017JC4QUPJASSYDYVQFN4KZQP4RSMJ3WWD,success,파일명 변경 완료 (SharePoint Batch)
2026-06-30T14:51:59,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Manila Court\법무실_필리핀 교과서_(법무실)Oral Arguments 대비 자료_070227.doc,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Manila Court\법무실_필리핀 교과서_(Manila Court)구술변론 대비 자료_070227.doc,017JC4QUMVZQWKECBOJ57KZ62XHIJ3G3R6,success,파일명 변경 완료 (SharePoint Batch)
2026-06-30T14:51:59,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Manila Court\법무실_필리핀 교과서_Governing Law.pdf,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Manila Court\법무실_필리핀 교과서_준거법 검토_Governing Law_100201.pdf,017JC4QUPABEDOHOYWDN333SGHIYV75JY7,success,파일명 변경 완료 (SharePoint Batch)
2026-06-30T14:51:59,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Manila Court\법무실_필리핀 교과서_Letter_clarification order_061206.doc,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Manila Court\법무실_필리핀 교과서_교과서 통관 지연 관련 통지서_Letter clarification order_061206.doc,017JC4QUK44S5VCO3AYN3L6LGE6ZAH2D6I,success,파일명 변경 완료 (SharePoint Batch)
2026-06-30T14:51:59,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Manila Court\법무실_필리핀 교과서_Manila Court Case strategy_061208.doc,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Manila Court\법무실_필리핀 교과서_(Manila Court)법원 판결 관련 법률 전략 검토_Manila Court Case strategy_061208.doc,017JC4QUJ64DW2YHPKBR3LXUS5LIE33GT6,success,파일명 변경 완료 (SharePoint Batch)
2026-06-30T14:51:59,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Manila Court\법무실_필리핀 교과서_Manila Court Questions_061211.doc,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Manila Court\법무실_필리핀 교과서_(Manila Court)법원 질의서_Manila Court Questions_061211.doc,017JC4QUNO4CB6W76TOF7JV3NKLO6QFZNN,success,파일명 변경 완료 (SharePoint Batch)
2026-06-30T14:51:59,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Manila Court\Petition for Intervention(06.12.20)\법무실_필리핀 교과서_Certification of Authentication_070130.pdf,"\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Manila Court\Petition for Intervention(06.12.20)\법무실_필리핀 교과서_(필리핀 대사관, 법무법인 우일)인증서_CERTIFICATE OF AUTHENTICATION_070130.pdf",017JC4QUKJ3RRV6BDLXVYIVSH7BOK3LHZD,success,파일명 변경 완료 (SharePoint Batch)
2026-06-30T14:51:59,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Manila Court\Petition for Intervention(06.12.20)\법무실_필리핀 교과서_RETAINER AGREEMENT-Supreme Court Case_070214.doc,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Manila Court\Petition for Intervention(06.12.20)\법무실_필리핀 교과서_(Dimayuga Law Offices)법률 자문 계약서_RETAINER AGREEMENT_070214.doc,017JC4QUPMXFXRA26RBJZZQNSQJ7PL4FJW,success,파일명 변경 완료 (SharePoint Batch)
2026-06-30T14:51:59,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Manila Court\Petition for Intervention(06.12.20)\법무실_필리핀 교과서_RETAINER AGREEMENT-Supreme Court Case_070220.doc,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Manila Court\Petition for Intervention(06.12.20)\법무실_필리핀 교과서_(DIMAYUGA LAW OFFICES)법률 자문 계약서_RETAINER AGREEMENT_070220.doc,017JC4QUMXX5YXFWZEWNZJPGVSCFWTDE45,success,파일명 변경 완료 (SharePoint Batch)
2026-06-30T14:51:59,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Manila Court\Petition for Intervention(06.12.20)\법무실_필리핀 교과서_Updates on Petition for Review.doc,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Manila Court\Petition for Intervention(06.12.20)\법무실_필리핀 교과서_검토의견서_Updates on Petition for Review_061229.doc,017JC4QUN2EP3FKPOMIN4LQY3LOLRP6J53,success,파일명 변경 완료 (SharePoint Batch)
2026-06-30T14:51:59,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Manila Court\Petition for Intervention(06.12.20)\법무실_필리핀 교과서_certificate (final).doc,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Manila Court\Petition for Intervention(06.12.20)\법무실_필리핀 교과서_(대우인터내셔널)위임장_REPRESENTATIVE DIRECTOR (CEO)’S CERTIFIC_060130_final.doc,017JC4QUOU52J7N7XAJ5YK4IVCUTKFFOHN,success,파일명 변경 완료 (SharePoint Batch)
2026-06-30T14:51:59,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Manila Court\Petition for Intervention(06.12.20)\법무실_필리핀 교과서_s certificate_012507.doc,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Manila Court\Petition for Intervention(06.12.20)\법무실_필리핀 교과서_법인 서기 증명서_SECRETARY’S CERTIFICATE_070112.doc,017JC4QUJC3CRVPNG23NYJH7XNMH5IC5TH,success,파일명 변경 완료 (SharePoint Batch)
2026-06-30T14:51:59,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Manila Court\Petition for Intervention(06.12.20)\법무실_필리핀 교과서_secretary's certificate(Daewoo revision).doc,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Manila Court\Petition for Intervention(06.12.20)\법무실_필리핀 교과서_(Manila Court)대표이사 증명서_SECRETARY(CEO)’S CERTIFICATE_070101_revision.doc,017JC4QUMAQUKL3PUEKB2IRPSDX7TULKF4,success,파일명 변경 완료 (SharePoint Batch)
2026-06-30T14:51:59,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Manila Court\Supreme Court Retainer\법무실_필리핀 교과서_RETAINER AGREEMENT_(Daewoo revision)_070228.doc,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Manila Court\Supreme Court Retainer\법무실_필리핀 교과서_(DIMAYUGA LAW OFFICES)법률 자문 계약서_RETAINER AGREEMENT_070228_revision.doc,017JC4QUIS3C4YPD6VN54JMXZYPUJP3RI3,success,파일명 변경 완료 (SharePoint Batch)
2026-06-30T14:51:59,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Manila Court\Supreme Court Retainer\법무실_필리핀 교과서_RETAINER AGREEMENT_070220_(2nd revised).doc,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Manila Court\Supreme Court Retainer\법무실_필리핀 교과서_(Dimayuga Law Offices)법률 자문 계약서_RETAINER AGREEMENT_070131.doc,017JC4QUP45DFIL54GAR3J5TJFFRIFOBJB,success,파일명 변경 완료 (SharePoint Batch)
2026-06-30T14:51:59,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Manila Court\Supreme Court Retainer\법무실_필리핀 교과서_RETAINER K_Daewoo Revision_070214.doc,\법무DB\2. 분쟁(소송.중재.파산.형사.보전처분)\[검토종결] 필리핀 교과서\4. 기타문서\Manila Court\Supreme Court Retainer\법무실_필리핀 교과서_(DIMAYUGA LAW OFFICES)법률 자문 계약서_RETAINER K_070214_Revision.doc,017JC4QUPM5ZW5YF4QGV5KUEFPPKZ7XJLO,success,파일명 변경 완료 (SharePoint Batch)
